track_name,track_id,artist_name,cosine_dist,predicted_genre,danceability,energy,loudness,acousticness,valence,tempo
With a Smile (feat. Kelly Badon),6XmskR1cMfgys1W7dExmgi,South Border,0.0029023381573938245,hopeful,0.523,0.534,0.6752356090438477,0.479,0.508,0.3634937263512382
Now I'm Dancing,6QUSooNT4qgR8IcQ1q6lLc,Callalily,0.0029043263737389413,hopeful,0.667,0.625,0.7900092916242646,0.659,0.629,0.4665461207659448
Dito Ka Lang Sa Tabi,0YGu8YGloM95uUICRxM43H,Yeng Constantino,0.004089992028393441,hopeful,0.736,0.636,0.8270872970222558,0.582,0.597,0.5741429042951652
Kaba,4Jb3CbAax7eTL58zQJvqnN,Julie Anne San Jose,0.004182013276254337,hopeful,0.668,0.666,0.9369939383213134,0.717,0.46,0.6214715210309545
Love the Way You Love,1N83YqVzNgZubtYOvnT5uV,Julie Anne San Jose,0.004285390955560908,hopeful,0.718,0.591,0.8130613689659751,0.579,0.621,0.5264076843228143
Langit 'Pag Kapiling Ka,1ZJr1uBNXedzvlkb6jdl0D,Join The Club,0.004588894618566708,hopeful,0.405,0.476,0.6421839741604355,0.398,0.382,0.4013460958913938
Sayang,56P52KGQqArIaKb4lNwA2Z,KZ Tandingan,0.005094740312378887,hopeful,0.587,0.605,0.7793018008052743,0.748,0.478,0.4207051935192227
In You,4M6YrTyOE1PWLIx1bqVcaA,Nyoy Volante,0.0051678883176983215,hopeful,0.586,0.698,0.8069554444493607,0.743,0.515,0.4190548627355308
"Balay Ni Mayang - From ""The Art Of Ligaw""",30ol9908qZSemXA6zvtwZs,KZ Tandingan,0.005400689478537335,hopeful,0.789,0.645,0.8176629352683511,0.768,0.601,0.6120239752402546
Naririnig Mo Ba (Acoustic Version),62cxTmAlIgXXvEPbgqLU7m,Julie Anne San Jose,0.0055099814384615975,hopeful,0.631,0.495,0.7735055970974737,0.49,0.396,0.4792273581791828
Ligaw,7MTxgXz4hyoHAIdEr2MTzk,Yeng Constantino,0.006503775867060746,hopeful,0.629,0.455,0.7200123888323525,0.619,0.379,0.4018579376127127
Knocks Me off My Feet,0qW0iSufwthgNSDaN2u7nz,Daniel Padilla,0.00666622171644593,hopeful,0.729,0.614,0.729082783947613,0.714,0.605,0.4592176953728551
Knocks Me Off My Feet,583v5cRFl7c4Dmo7s4aIhP,Daniel Padilla,0.00666622171644593,hopeful,0.729,0.614,0.729082783947613,0.714,0.605,0.4592176953728551
"Kung Ayaw Mo Wag Mo - Recorded at Kodama Studios, Philippines",0BEpSEV02FM1N5gcw2fsJC,IV Of Spades,0.007198911188837198,hopeful,0.621,0.571,0.7127118269103138,0.449,0.4,0.5022219670986228
Baby You're the Reason,0z6ULrmLRDPae3V9Ptkrqx,Sarah Geronimo,0.007492822640023711,hopeful,0.573,0.691,0.7099243396309899,0.632,0.605,0.4114442068605924
Tala,2Ccg5O8xZUtfXloVOykOiu,Sarah Geronimo,0.007563692826183299,hopeful,0.598,0.795,1.0,0.623,0.499,0.4687848303507789
You Make My Body Move,52zOwd1tOw2LASfqGqBasz,James Reid,0.007927148304630705,hopeful,0.756,0.54,0.7654528560683158,0.737,0.582,0.4542762701567574
Kahit Habang Buhay,0AvcMDSjxn65fAjYymn1HX,Yeng Constantino,0.008156697128796409,hopeful,0.663,0.641,0.7151895933808239,0.567,0.638,0.5502059325803997
No Erase,1h2deYbt0Z67mh56RSrftX,James Reid,0.00833804493317536,hopeful,0.675,0.557,0.7509402238838991,0.672,0.477,0.6312156480059699
Kung Saan Ka Masaya,7Ca3pZjirs1cZWbH40EnZz,Daniel Padilla,0.008411839548509659,hopeful,0.679,0.673,0.8401840626520951,0.48,0.405,0.4689618223478706
Calm Me Down,2CsHDQ1WFLQBBpIEuLcL3z,Zack Tabudlo,0.00845846576206899,hopeful,0.592,0.49,0.6944382991903014,0.395,0.437,0.478328047491258
Tagu-Taguan,6Z3PnRVv01oYFBPMRBb4le,KZ Tandingan,0.008510081205391873,hopeful,0.782,0.616,0.7830184505110395,0.56,0.623,0.5740568000803639
It Might Be You,5n6Y8zW8VbLIfdbrOsdmVc,Daniel Padilla,0.008575363050324358,hopeful,0.557,0.384,0.6713862218485908,0.459,0.372,0.4687274275409114
Ikaw Ang Musika ko,7MMmpXeqouHsb4FLFJ6wLI,Daniel Padilla,0.009345467228466853,hopeful,0.674,0.53,0.7209857970886244,0.687,0.457,0.5979746375251734
Umiibig,0H0o3dZfKoMOnBFvwWn9wM,KZ Tandingan,0.009688415164337383,hopeful,0.563,0.602,0.7768682801645946,0.81,0.537,0.5738654573808054
Tulad Mo,1YDHJAVkG1Z6mnzu1Orpap,TJ Monterde,0.010322545342257183,hopeful,0.683,0.455,0.6957656740852175,0.685,0.546,0.4831259656826868
Akin Ka Na,68GaXJoBCYzrRkDVjce5ZU,Yeng Constantino,0.010343668283410157,hopeful,0.527,0.462,0.7447900535374542,0.376,0.516,0.3826519141445306
Habulan (feat. Bryan Chong),1dc0nQl1hUfGXKYooSE82b,John Roa,0.010679403789283115,hopeful,0.534,0.772,0.7929295163930801,0.652,0.626,0.4014752522135958
Ikaw At Ako Pa Rin,4LfJVdv2vaYIJ4vq8zXz0r,TJ Monterde,0.011091337309652172,hopeful,0.678,0.502,0.6767842130879165,0.65,0.634,0.4590598376457193
Mabagal,4wJ5SjIkViEQEu95U8oyLt,Daniel Padilla,0.011255231794677023,hopeful,0.356,0.339,0.5889119950444671,0.508,0.287,0.3586479724849197
"Mundo Umikot Ka - From ""Still"": A Viu Original Musical Narrative Series",4Y6jrl2oZ59wYICgVLq3Id,Julie Anne San Jose,0.011525994319329103,hopeful,0.437,0.528,0.7445688243883014,0.353,0.403,0.3957875904692201
Rocketeer,4PkJxTBXhVWxxs4Gw1amVx,James Reid,0.011533001565211531,hopeful,0.596,0.698,0.7935047121808771,0.414,0.511,0.4016522442106874
What About Us,543R5REFoh4lUZKFJFUuVC,Yeng Constantino,0.012002891782666003,hopeful,0.681,0.57,0.7397460289367728,0.443,0.334,0.4018962061526245
Nothing Left,3yKJG8s0Urqo4zE9VhM7lE,Julie Anne San Jose,0.01240775197899091,hopeful,0.571,0.602,0.7873102960046017,0.357,0.474,0.4056513066314596
Ano Ang Kulay Ng Mundo Para Sa 'Yo?,1rswk74HKx20Evx0e7vC1C,Join The Club,0.01244096358246427,hopeful,0.547,0.754,0.8655811689748243,0.648,0.359,0.4066893407765643
Intro Lude,4TdlYZ2Jij0TJHfxU2gbqa,KZ Tandingan,0.012581982438197636,hopeful,0.566,0.585,0.7070041148621743,0.505,0.68,0.4079617697286282
Tunay Na Tunay,4KJVryttL1duMPn0gqWVM7,Nyoy Volante,0.012679980523706558,hopeful,0.56,0.478,0.6711207468696075,0.318,0.451,0.3826806155494644
Game Changer,1eh1QzhTuhyY07nELUU8iQ,James Reid,0.01315614076006133,hopeful,0.672,0.647,0.7360736250608381,0.528,0.293,0.4304780218991719
Kita Na Kita,2a9YP4xBoCUhQoJTDe71TF,Moira Dela Torre,0.013731714600302314,hopeful,0.703,0.566,0.7467368700499978,0.424,0.407,0.5450396796923209
Rainbow,3ueq4reab02CypseErxvwS,South Border,0.013841392665209673,hopeful,0.428,0.346,0.757090394230344,0.428,0.4,0.4170553315251448
Awit Ko Na Naisulat Dahil Sa Kagandahan Mo,3V8UIN1Xli8KmgyevIle2Y,Nyoy Volante,0.013962789913879226,hopeful,0.689,0.7,0.7366045750188045,0.474,0.673,0.4786724643504633
Sa Tuwina,0usgKAEVvjEXEEcCQsqBOV,TJ Monterde,0.014054478148144312,hopeful,0.744,0.47,0.7684173266669618,0.445,0.451,0.4880147716564059
We Could Happen,5fftYmDDPVlOBS9cOo7672,Moira Dela Torre,0.01409971570255697,hopeful,0.629,0.382,0.6646608557143491,0.648,0.527,0.3735105166731244
Tell Nobody,7o4wWaDR0cTcnOWD385o3O,Moira Dela Torre,0.01433595713757796,hopeful,0.777,0.463,0.784301579576125,0.54,0.587,0.5741094193227425
Knots,4jXiylt6Qg9gjAvlKIUZ95,Moira Dela Torre,0.01450863215724385,hopeful,0.657,0.491,0.749214636520508,0.576,0.592,0.6694315686752865
Wala Nang Kulang Pa,2FpJL9TwVqUgsRdmMA4PED,Moira Dela Torre,0.014567124393795483,hopeful,0.666,0.679,0.8045219238086811,0.479,0.511,0.6884893015513108
