track_name,track_id,artist_name,euclidean_dist,danceability,energy,loudness,acousticness,valence,tempo
Andiyan,3DVnV3LELIUSvrzbofWdMM,John Roa,6.0606060575601835e-05,0.497,0.156,0.3943188354497589,0.931,0.534,0.4679333553377437
"Till My Heartaches End - From ""The Significant Other""",4isDU5tDNqFLQ5xQ9NgPmz,KZ Tandingan,6.0606060575601835e-05,0.497,0.375,0.7883279500907041,0.845,0.214,0.6229448598175547
Can't Wait to Say I Do,6PTWbgRrsNywWKILim2CZ0,KZ Tandingan,0.0009393939393982618,0.496,0.48,0.590460599088536,0.857,0.4,0.3897268104607053
Kulimlim,37GrO7S96eCqHTZ6T5QfQV,juan karlos,0.0010606060606127789,0.498,0.0641,0.1712313614441839,0.935,0.196,0.5796679247449162
Walang Kapalit,590nmgdmbg8BEToIFtt1HA,Julie Anne San Jose,0.0019393939393924386,0.495,0.762,0.9112871111897703,0.213,0.511,0.4036804768260073
Take My Hand,7CQMpVDfvzK2uGiMu9FCg4,Callalily,0.0019393939393924386,0.495,0.517,0.6988628821733552,0.245,0.57,0.393788059258834
Parang Wala Na,62lV2in35sXjxltAuu5ais,Rico Blanco,0.0019393939393924386,0.495,0.795,0.7792575549754437,0.000344,0.407,0.7075326837248682
Sa 'Yo,4Wqwbx9NEzBVKZ00aFAS9l,South Border,0.002060606060600888,0.499,0.298,0.5903278615990443,0.372,0.0668,0.3966247147797884
Ex,0GHwNr0lqf8jpc9wesmnHo,Callalily,0.002060606060600888,0.499,0.381,0.7233308260696429,0.586,0.57,0.7526082401733564
Bahala Na,2Gur6tRObkpubjztsS1IGX,Callalily,0.0029393939393909177,0.494,0.784,0.7478430157957613,0.279,0.295,0.69789379523461
Lagi,1uq56QjwOqaTxW2vFeoWuv,John Roa,0.0029393939393909177,0.494,0.254,0.3254280784036105,0.885,0.0976,0.5507034235992518
On the Way Down,1GwVi2ceNb8dMFA3DZGnnY,Ryan Cabrera,0.003060606060606163,0.5,0.845,0.8489889827883723,0.00184,0.539,0.4553908413816856
Ikaw At Ako - Halfway Point,2fF6qGPN0V4JuPSOKXz5eb,Moira Dela Torre,0.003939393939393946,0.493,0.0215,0.073802044157338,0.967,0.282,0.597912451147817
Time Machine,3l2Wyag6NGCud0v9U9knzI,Nyoy Volante,0.003939393939393946,0.493,0.437,0.6756338215123224,0.809,0.33,0.3674401695296318
Ang Paglalahad,3sLV7WbA0HP3avOxqGofs7,Join The Club,0.003939393939393946,0.493,0.771,0.7786381133578162,0.0265,0.713,0.6216772144329799
Patay Na Si Uto,4SBgYkam2ehlZaJX5EMB5P,Nyoy Volante,0.003939393939393946,0.493,0.705,0.8205831600371667,0.154,0.287,0.3810063669283278
Sa'Yo,24JtgSAbisSkmGxpTxUcaC,Zack Tabudlo,0.0040606060606056685,0.501,0.0339,0.3445865227202336,0.839,0.276,0.8168659022525818
Promise,1TGoNv0sJupIlpue7Iza7f,Yeng Constantino,0.0040606060606056685,0.501,0.207,0.6132029556214328,0.868,0.114,0.6640070031428038
Imposible,5Qb6FrDW7ehrglaXBgzPTE,KZ Tandingan,0.004939393939393141,0.492,0.758,0.7843458254059557,0.469,0.617,0.9746997115508804
Morning Girl,161t8t6og1gzFddbKyLWLc,Daniel Padilla,0.004939393939393141,0.492,0.521,0.7473563116676253,0.17,0.591,0.373185234083875
You Are My Sunshine,4hEcAsNF6RG9VCV7xElgCG,Moira Dela Torre,0.004939393939393141,0.492,0.235,0.6430246449272157,0.921,0.362,0.5638056149515185
TAKE ALL THE LOVE,4feJnuMO1hnNLEWiKYDxOl,Arthur Nery,0.0059393939393951115,0.491,0.486,0.7793902924649354,0.285,0.262,0.3942185803328406
"Naaalala Ka / Maging Sino Ka Man (Spotify Jams: OPM Love Songs - Recorded at Kodama Studios, Philippines)",3efCao3RLbsz52LQ66o8Ac,Moira Dela Torre,0.0059393939393951115,0.491,0.101,0.3886996150612806,0.952,0.312,0.4131471568866628
You Should Know by Now,0O1QiCCLoCrarDIvFgDV78,Nyoy Volante,0.0059393939393951115,0.491,0.303,0.546170523428167,0.772,0.348,0.4350032767437299
MSB - My Sweet Boy,6UoFWEkjEPgt9QStqyNBsL,Julie Anne San Jose,0.006060606060605664,0.503,0.761,0.833016238219548,0.0426,0.464,0.3683203459476007
Misteryo (from Tala: The Film Concert Album),2FdpKbuKrHLDsLabTQhjk2,Sarah Geronimo,0.006060606060605664,0.503,0.298,0.7377992124242291,0.88,0.297,0.6881544518270836
Hawak Kamay,6zP6nVPlwzDpiYS7WHzdsj,Yeng Constantino,0.006939393939392659,0.49,0.371,0.7254103800716784,0.655,0.335,0.860315045754823
Never Me,4hXcHUcl4c6j3OKR5ZKsXw,I Belong to the Zoo,0.006939393939392659,0.49,0.353,0.63762665368789,0.737,0.0653,0.6067716181373745
Malay,1pe3LbZXSvEe5cyvE4t5Wo,juan karlos,0.007060606060609806,0.504,0.494,0.676164771470289,0.581,0.306,0.7174251012920415
Ako'y Babalik,46tYbqwIEnZvUDSUpaT5I3,Callalily,0.007060606060609806,0.504,0.804,0.7294367505862572,0.00195,0.687,0.5919712603265262
The One With The Snowflake,3Uv8seP6rgLuiZWNxsgMxh,I Belong to the Zoo,0.007939393939396194,0.489,0.271,0.463519313304721,0.77,0.411,0.6559323412214362
Baby U Are,5c43YLZZRH10puIAHB4Zzf,Julie Anne San Jose,0.010060606060609613,0.507,0.296,0.6787752754302907,0.706,0.513,0.4880530401963175
Your Song (My One and Only You),5Seh4HfqT1mFnRJQswqz51,Julie Anne San Jose,0.010060606060609613,0.507,0.367,0.7517366488208488,0.726,0.362,0.4019440418275141
What's Forever For,4UbeLhCrFKH3Krh0o4sH8W,Nyoy Volante,0.010939393939394589,0.486,0.258,0.5390026989956197,0.938,0.397,0.377337370664294
Never Alone,2b2AtN05CAy8kbe0ygWihA,Julie Anne San Jose,0.010939393939394589,0.486,0.328,0.7892128666873148,0.871,0.38,0.3824127357700825
What's forever for,6237n4dU8QBh3EK9KdMHmp,Nyoy Volante,0.010939393939394589,0.486,0.258,0.5390026989956197,0.938,0.397,0.377337370664294
Halik Na Lang,0R1NuLiFCi1tTTe8y7wNTI,KZ Tandingan,0.012060606060605349,0.509,0.109,0.4552010972965798,0.938,0.223,0.6224712866361475
Even If,410LXtkrWPStKNn9ErGpDy,Yeng Constantino,0.012939393939395034,0.484,0.59,0.7385956373611787,0.662,0.26,0.3679185262785279
"You Are My Sunshine - From ""Meet Me in St. Gallen""",1p2abSfly8JtPIkwr44i6s,Moira Dela Torre,0.012939393939395034,0.484,0.177,0.5254634750674749,0.918,0.365,0.5643509416452602
Even If - Live,407kUIm59MX08i8XUb0dwu,Yeng Constantino,0.012939393939395034,0.484,0.59,0.7385956373611787,0.662,0.26,0.3679185262785279
Feels Like,7nxbiYAwGHyqg8a6fsh8l5,Yeng Constantino,0.012939393939395034,0.484,0.511,0.8195212601212337,0.117,0.247,0.3995761759204779
Try,079YDRVV6NaioJUkWD1YWG,Nyoy Volante,0.01393939393939432,0.483,0.584,0.8454050705720988,0.626,0.308,0.6684222359351156
Balita,4wq7AxLexxAVWhBvFUWTMM,I Belong to the Zoo,0.014939393939392842,0.482,0.891,0.919118623069776,0.00711,0.474,0.7700252094006669
Ayuz,7G0pZh6OMyrK6xGDNtIS6E,John Roa,0.015939393939394222,0.481,0.516,0.7478430157957613,0.327,0.541,0.5868050074384474
Paubaya - Halfway Point,19AajYm3j0l4sccSvlFslg,Moira Dela Torre,0.017060606060606595,0.514,0.0685,0.5000663687447459,0.941,0.5,0.5690914570268214
First of May,6NgMCGNIMlEysBDVclejol,Nyoy Volante,0.01793939393939437,0.479,0.216,0.5405955488695191,0.911,0.191,0.6664466225621744
Isa Pang Araw,06ANmvjPpUeh8QQAAAcThx,Sarah Geronimo,0.018060606060605697,0.515,0.715,0.8921286668731474,0.277,0.416,0.6781759300451089
Di Na Ganun,2cRJnos65m0AucnozFs6B4,Yeng Constantino,0.018060606060605697,0.515,0.351,0.6358125746648379,0.787,0.177,0.7079201526914742
Ayoko Na,0sP2e3494WNe8zu9wrZZr1,Nyoy Volante,0.018060606060605697,0.515,0.363,0.5551524268837662,0.634,0.311,0.714468856583863
Langit,3OhROSqrbyIeiiTBiTn4gE,Callalily,0.01893939393939414,0.478,0.525,0.7872218043449406,0.00226,0.409,0.7455763959645824
Kapit,4Fw7dylZhlErihPSnl3anx,I Belong to the Zoo,0.01893939393939414,0.478,0.638,0.8048758904473254,0.164,0.437,0.6693550315954632
Ulit Ulit,6yD8NP7uG1nmI0koeu4xi7,John Roa,0.019939393939394683,0.477,0.705,0.7284190965001549,0.489,0.399,0.5994097077718621
Bakit Ngayon,7FCzQyJnoc7ghBsTfnseeX,Julie Anne San Jose,0.0209393939393939,0.476,0.481,0.7484624574133888,0.122,0.186,0.7178938909059598
Sariling Multo (Sa Panaginip),4trnDsgZDTeX09IjfSDyPt,IV Of Spades,0.0209393939393939,0.476,0.465,0.7034644484757312,0.029,0.461,0.6890489789475194
Tagpuan - Halfway Point,1Ei10foTGxCP3B5Mkt2Q6b,Moira Dela Torre,0.02106060606060644,0.518,0.159,0.3899384982965356,0.878,0.297,0.6484843266411223
Your Universe - Acoustic,5RfpJJnfTXkIXRG4f1hudc,Rico Blanco,0.021939393939393863,0.475,0.253,0.5628954471041104,0.691,0.347,0.4205138508196642
Ito Ang Ating Sandali,0GFaNzQaB4hI9YjXgc9ULi,Rico Blanco,0.021939393939393863,0.475,0.817,0.6456793947170479,0.0334,0.382,0.7885567498529052
Nananaginip,2KBxJVS8oXXNWsNKNSob90,Callalily,0.022060606060605895,0.519,0.451,0.7176231140215036,0.465,0.281,0.6512874971896541
Is This Love,7y50f7BGwYSjnJ1fWqNu3l,Callalily,0.022060606060605895,0.519,0.527,0.7321799920357507,0.0285,0.309,0.7312400442001636
Sandata,4isfsSl3ePTKAgb8akk97L,Sarah Geronimo,0.022939393939394478,0.474,0.838,0.7887261625591789,0.259,0.385,0.8034910475534444
Lazy Daisy,1eg4lwXmLYJISc45cXbiEX,Up Dharma Down,0.023060606060605438,0.52,0.467,0.7139949559753993,0.248,0.343,0.3459858693416376
Baby Stay,0HhHWdNT3ErsStYPD8yrZY,Nyoy Volante,0.023939393939393924,0.473,0.105,0.1344630768550062,0.854,0.196,0.6948992819865198
Sabi-Sabi - Halfway Point,5TH5l3hebFeKYpCMjfS3up,Moira Dela Torre,0.02406060606060737,0.521,0.373,0.5251537542586612,0.924,0.309,0.6776927897287238
Two,5vruBAUH0NyKel4seYPJ04,Up Dharma Down,0.024939393939394566,0.472,0.513,0.7151895933808239,0.059,0.46,0.7651794555343484
"Patawad, Paalam",5QJYLlZvfZHX1wUTrgROru,Moira Dela Torre,0.024939393939394566,0.472,0.288,0.7074908189903103,0.865,0.193,0.373056077761673
Dati (feat. Skusta Clee),7pa4kToAE3b6Gtk7fWrsLl,John Roa,0.025060606060605867,0.522,0.495,0.7076678023096324,0.734,0.707,0.8028835344823463
Pasasalamat,7JhExOOJEevjOyaxVzsYgz,Callalily,0.025060606060605867,0.522,0.69,0.8392106543958233,0.00576,0.409,0.6124449291792833
Cotton Candy,5eyQmt4Ba7ZzudMIqA6yKo,Arthur Nery,0.02593939393939413,0.471,0.371,0.6165213928587231,0.691,0.293,0.8609751780682997
Sabihin Mo Na,720kFRYoo4GHr4JDoUGN8B,Yeng Constantino,0.02606060606060558,0.523,0.661,0.8662448564222823,0.0717,0.299,0.6697233662921133
With a Smile (feat. Kelly Badon),6XmskR1cMfgys1W7dExmgi,South Border,0.02606060606060558,0.523,0.534,0.6752356090438477,0.479,0.508,0.3634937263512382
Gusto Kita,4VN7igFMrdkdLuRqyUeiY3,Daniel Padilla,0.02606060606060558,0.523,0.533,0.6901464536967391,0.291,0.88,0.8128955412367435
Sugarcoats and Heartbeats,4ViEgP0YLXYvoAPHtkrP2c,Up Dharma Down,0.02693939393939376,0.47,0.0865,0.5197557630193355,0.127,0.0551,0.4542858372917354
Fake Lullabies,6U3z77Angc4BC2l6YGw4fE,Callalily,0.02693939393939376,0.47,0.768,0.7534179903544093,0.129,0.608,0.6299814875938177
Right Where You Belong,7s3wYgPACF47L2s7uKVHps,Julie Anne San Jose,0.027060606060607402,0.524,0.693,0.8333702048581922,0.0895,0.216,0.6497711062956532
Magkasuyo Buong Gabi,23kb0nomnO71oLqw7Okj3T,Nyoy Volante,0.027060606060607402,0.524,0.43,0.6763417547896111,0.847,0.533,0.5182086496467335
"Ako'Y Sa'Yo, Ika'Y Akin Lamang - From ""MOMOL Nights""",38bTbJMIYDYleIiZbUihgs,KZ Tandingan,0.027060606060607402,0.524,0.551,0.7963364452900316,0.592,0.33,0.6886949949533363
Malaya - Halfway Point,6tTrbaYTyKDfzke4YEx3Tr,Moira Dela Torre,0.02793939393939395,0.469,0.272,0.606566081146852,0.608,0.148,0.4296265468861367
Langit Na Naman,3FRS9qARzKKEZGhwJDcSZP,Daniel Padilla,0.028060606060606164,0.525,0.588,0.6399716826689085,0.101,0.53,0.917957033996814
Paalam - Halfway Point,5cVJM9niSKOBb19uOoQIS7,Moira Dela Torre,0.028939393939393685,0.468,0.152,0.6635547099685856,0.888,0.174,0.6581567001038033
Para Sa'yo,6XkdciyYoZt4MHOH2DZKGS,Callalily,0.028939393939393685,0.468,0.665,0.7892571125171455,0.00378,0.202,0.6361522896545785
Nothing's Gonna Stop Us Now (Theme from Crazy Beautiful You),0bN5xQD1krvZNn8bsiWfVb,Daniel Padilla,0.030060606060604955,0.527,0.64,0.8292110968541216,0.211,0.517,0.8884041540500074
Hindi Ko Kaya,5DAVHXdtJfSoz2uyPyzZUo,Zack Tabudlo,0.030060606060604955,0.527,0.423,0.6337330206628026,0.0797,0.524,0.367411468124698
Blinded,0e4KAkEqjwhiHc554FJ18i,Julie Anne San Jose,0.030060606060604955,0.527,0.662,0.8289013760453079,0.0579,0.554,0.832417280159197
Akin Ka Na,68GaXJoBCYzrRkDVjce5ZU,Yeng Constantino,0.030060606060604955,0.527,0.462,0.7447900535374542,0.376,0.516,0.3826519141445306
Tala (from Tala: The Film Concert Album),7B5BlAWFMIij6o072CkIU2,Sarah Geronimo,0.030939393939393746,0.466,0.814,0.9168620857484184,0.00163,0.176,0.4785193901908165
Happily Ever After,5U6VSDY2rcSnL8jgrlZtqg,Moira Dela Torre,0.03193939393939361,0.465,0.336,0.6306358125746648,0.78,0.131,0.3539935613181598
Throwback Thursday,4BfyQAfXpqlegjNx46ZZeD,KZ Tandingan,0.032060606060605755,0.529,0.661,0.7093491438431928,0.0838,0.313,0.6315791991351309
How Sweet It Is - To be Loved by You,4nfJ7njbI3RfGp0lBFeBpu,Daniel Padilla,0.032060606060605755,0.529,0.52,0.7585062607849211,0.362,0.612,0.5026237867676956
How Sweet It Is (To Be Loved by You),4C6IuZXleX02szHjhsjdFV,Daniel Padilla,0.032060606060605755,0.529,0.52,0.7585062607849211,0.362,0.612,0.5026237867676956
We & Us - Halfway Point,6K7bS60NL2eKXJewpR31PY,Moira Dela Torre,0.032060606060605755,0.529,0.294,0.5041369850891554,0.799,0.199,0.461494673497601
Sabi Ng Lola - Halfway Point,1DGMAr5o2ckM4nhKVEb9oZ,Moira Dela Torre,0.03293939393939392,0.464,0.0831,0.3843635237378877,0.966,0.217,0.6307420748245626
"I Just Fall in Love Again - From ""Finally Found Someone""",4T8keN6kpPwn1vX8mhvMrF,Sarah Geronimo,0.03293939393939392,0.464,0.434,0.7743462678642539,0.659,0.157,0.346311151930887
