track_name,artist_name,predicted_genre,predicted_genre_prob,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Kuwaderno,Ben&Ben,hopeful,0.9994031970595236,0.227,0.349,0.0,0.0343,0.867,0.877,0.114,0.0856,0.14293510292287875
Bibingka,Ben&Ben,hopeful,0.9726945537304402,0.356,0.229,0.3865609348914858,0.0328,0.797,0.0,0.112,0.431,1.0
Baka Sakali (feat. Ebe Dancel),Ben&Ben,hopeful,0.9049347150059041,0.271,0.198,0.4119365609348914,0.0318,0.877,0.0,0.108,0.183,0.8194683955090845
Godsent,Ben&Ben,hopeful,0.8819203519967722,0.351,0.158,0.29248747913188633,0.0366,0.81,0.0,0.132,0.2,0.8261552902141405
War,Ben&Ben,hopeful,0.8524431829043907,0.652,0.266,0.4309682804674456,0.0264,0.874,0.00523,0.0974,0.28,0.19174434087882813
Hummingbird,Ben&Ben,hopeful,0.8066388888166247,0.453,0.699,0.8581803005008346,0.0375,0.381,1.66e-05,0.34,0.747,0.1976817794852765
Make It With You,Ben&Ben,hopeful,0.7870198165178263,0.558,0.458,0.49290484140233704,0.0485,0.7,2.11e-05,0.186,0.342,0.1472426564216745
Sabel - feat. KZ Tandingan,Ben&Ben,hopeful,0.7689275650062022,0.473,0.541,0.7819699499165274,0.363,0.601,0.0,0.118,0.543,0.0
Kasayaw,Ben&Ben,hopeful,0.7385376387844348,0.67,0.836,0.9604340567612686,0.0749,0.0164,1.29e-05,0.112,0.833,0.3663094016720874
Tuloy Na Tuloy Pa Rin Ang Pasko,Ben&Ben,hopeful,0.7303118787664494,0.75,0.401,0.6287145242070116,0.0436,0.54,3.52e-06,0.328,0.621,0.37381123893096996
Kayumanggi,Ben&Ben,hopeful,0.7289191169685865,0.399,0.211,0.46310517529215345,0.0322,0.874,4.54e-05,0.0936,0.306,0.35513304664818485
Leaves,Ben&Ben,hopeful,0.7234368874485633,0.447,0.16,0.4774624373956593,0.0372,0.913,0.0,0.0891,0.205,0.37597956822597195
Talaarawan,Ben&Ben,hopeful,0.7218106733258882,0.585,0.694,0.8644407345575958,0.0278,0.25,1.96e-06,0.447,0.478,0.40974147402734423
Upuan,Ben&Ben,hopeful,0.7139504491248931,0.592,0.692,0.8415692821368947,0.0321,0.19,0.0313,0.0968,0.538,0.27183427561066115
Dati - Cover Version,Ben&Ben,hopeful,0.7028850467067242,0.617,0.62,0.5774624373956593,0.0408,0.414,0.0,0.0919,0.569,0.17023567847605742
Lunod (Acoustic Performance from the Pebble House) (feat. Zild & Juan Karlos),Ben&Ben,hopeful,0.6929241061240472,0.566,0.709,0.9337228714524206,0.043,0.444,8.38e-06,0.0909,0.683,0.17057038702495037
Ours,Ben&Ben,hopeful,0.6870610947398611,0.693,0.497,0.6118530884808012,0.051,0.29,8.34e-06,0.1,0.0892,0.3083757176224052
Pagtingin,Ben&Ben,hopeful,0.6769389644057342,0.669,0.42,0.6804674457429046,0.0253,0.506,0.0,0.404,0.523,0.2067043577597812
Limasawa Street (Steve Lillywhite Mix),Ben&Ben,hopeful,0.6716767919662039,0.461,0.781,0.7712020033388981,0.0528,0.00895,0.000791,0.105,0.367,0.39110693938137125
"Beautiful Girl - Recorded at Kodama Studios, Philippines",Ben&Ben,hopeful,0.6654947438400118,0.246,0.323,0.5965776293823037,0.0331,0.903,0.0,0.357,0.18,0.7199071547590463
Magpahinga,Ben&Ben,hopeful,0.6637440263899509,0.405,0.335,0.6574290484140233,0.0284,0.96,0.000152,0.191,0.343,0.40893380774632
Ride Home,Ben&Ben,hopeful,0.6604761949000663,0.613,0.551,0.6532554257095158,0.0332,0.235,0.000672,0.175,0.432,0.34539739363908234
Balik-Balikan,Ben&Ben,hopeful,0.6541896323233998,0.456,0.563,0.645075125208681,0.0548,0.098,0.0,0.177,0.352,0.2433112862267432
Ilang Tulog Na Lang,Ben&Ben,hopeful,0.6492527807244005,0.695,0.381,0.8121869782971618,0.0311,0.862,0.0,0.128,0.468,0.30077201254429436
Roots,Ben&Ben,hopeful,0.6455324713738387,0.548,0.481,0.7143572621035057,0.0252,0.412,0.0,0.181,0.588,0.17031571747687962
Sa Susunod na Habang Buhay,Ben&Ben,hopeful,0.6252700891292271,0.311,0.342,0.6449916527545909,0.032,0.432,1.93e-06,0.114,0.274,0.8041518412608324
SUNRISE,Ben&Ben,hopeful,0.6227199577050294,0.544,0.61,0.687228714524207,0.0635,0.246,3.62e-06,0.0869,0.447,0.43095908551803425
Sampaguita,Ben&Ben,hopeful,0.5940367835045178,0.558,0.527,0.7376460767946577,0.0289,0.195,0.0,0.117,0.392,0.17707537490995612
Maybe The Night,Ben&Ben,hopeful,0.5789980817228803,0.572,0.522,0.6277963272120198,0.0367,0.113,4.91e-05,0.114,0.498,0.05390990519016531
Branches,Ben&Ben,hopeful,0.5678798139479196,0.475,0.704,0.932804674457429,0.0508,0.471,0.0,0.0598,0.488,0.3917836327519591
Nakikinig Ka Ba Sa Akin,Ben&Ben,hopeful,0.5633569382614452,0.448,0.51,0.7153589315525876,0.0289,0.694,0.0,0.188,0.325,0.6493273085794531
"Susi (From the Film ""GOYO - Ang Batang Heneral"")",Ben&Ben,hopeful,0.5590896597088724,0.325,0.413,0.724540901502504,0.0366,0.291,2.96e-06,0.0689,0.289,0.7226648621510117
Inevitable,Ben&Ben,hopeful,0.5528048297181118,0.413,0.771,0.9999999999999999,0.0307,0.00741,0.0348,0.093,0.369,0.19204266806371112
