track_name,track_id,artist_name,euclidean_dist,danceability,energy,loudness,acousticness,valence,tempo
It Takes a Man and a Woman,4T0J3i8yPe8IZ1gAenzJNu,Sarah Geronimo,0.007352941176469465,0.452,0.465,0.5724281549354433,0.688,0.0663,0.4304020762789189
After All - Version 2,3YOGrxoZWy29PC6TCGSNpn,Yeng Constantino,0.016352941176470917,0.443,0.482,0.6599750104123279,0.231,0.099,0.07232506741823652
Kahit Kailan - Multiplex Karaoke,3GBefwjR5poN8dXcTbqFt6,South Border,0.04864705882352963,0.508,0.254,0.34010828821324424,0.323,0.0906,0.9882601025973763
Forever's Not Enough,2yERGOUdm0T2arqBGx1fHz,Sarah Geronimo,0.04964705882352906,0.509,0.327,0.545022907122032,0.736,0.183,0.09170907763742187
Right Here Waiting,0OgYllPLVK9uWrIlJO1kvc,Sarah Geronimo,0.05164705882352911,0.511,0.451,0.6639733444398166,0.645,0.12,0.43912082564528854
Dance with My Father,3QhscmDTgaQNvGQ4ZZku7x,Michael Pangilinan,0.05864705882352931,0.518,0.374,0.4551436901291126,0.587,0.133,0.342302155355948
I Won't Last a Day Without You,4a8ntToiyHNSWFnNr1R9mG,Sarah Geronimo,0.05864705882352931,0.518,0.447,0.5558517284464803,0.693,0.193,0.28627912163669156
I Won't Last A Day Without You,2GAV1Q4JNeCPTJrOZTneFE,Sarah Geronimo,0.05864705882352931,0.518,0.447,0.5558517284464803,0.693,0.193,0.28627912163669156
Tag-Araw Tag-Ulan,35yzGvcBxEzH38vbhOIq3m,Michael Pangilinan,0.06664705882352961,0.526,0.644,0.701624323198667,0.391,0.177,0.154727387011091
Please Be Careful With My Heart (duet w/Christian Bautista),2Yk4vKH8mhKjjfqvsoojuf,Sarah Geronimo,0.07364705882352927,0.533,0.277,0.4530612244897956,0.764,0.338,0.6579817109024919
The Little Christmas Tree,5gi9A8t6ouN1ifgBN0qfdJ,Daniel Padilla,0.07764705882352954,0.537,0.341,0.6294044148271551,0.233,0.34,0.1147630730550091
Sa Mga Salita Pa Lamang Niya,4dPtf09xxj0ld7VTZiUaXw,KZ Tandingan,0.07935294117647036,0.38,0.337,0.6841316118284049,0.897,0.161,0.17682840284677304
"Reflection - From ""Mulan""",03OMAPICX328TivD4rwRlw,Moira Dela Torre,0.07935294117647036,0.38,0.396,0.2780508121615992,0.424,0.151,0.5839128936109816
It Might Be You - Theme from Everyday I Love You,4FdQYoWFym37QDQ2GkEHi1,Michael Pangilinan,0.0816470588235293,0.541,0.435,0.6482299042065802,0.314,0.242,0.5610819359678827
Bagong Umaga,0ZGy231gVxNt5m81W4NxfB,Julie Anne San Jose,0.08635294117647037,0.373,0.238,0.45331112036651366,0.969,0.21,0.0
Hung Up,4R7Wwquqb9c5Nzco5Gy1Uo,Arthur Nery,0.08864705882352959,0.548,0.36,0.41191170345689265,0.771,0.256,1.0
Ang Saksi ko,1sZQNo0DVnSJEGo1n9uI4J,Michael Pangilinan,0.09064705882352955,0.55,0.534,0.693710953769263,0.374,0.228,0.3974533141385672
Maghintay,1CtKibHvWY6yUDe62ZPhs8,Julie Anne San Jose,0.09635294117647049,0.363,0.392,0.6091628488129943,0.5,0.265,0.5239360084348834
Cool-Off,5wkhSvut2EgxM0J5HQ8q8C,Yeng Constantino,0.1026470588235296,0.562,0.547,0.5966680549770926,0.25,0.253,0.33859161783491154
Ganito,7CSL3GVluepNAKYTZnzgMn,Sarah Geronimo,0.11135294117647064,0.348,0.395,0.6084964598084126,0.307,0.178,0.25576349885439664
Stay Here,36EJEYJemQpDL6e1BelM8N,Zack Tabudlo,0.11464705882352945,0.574,0.374,0.3015410245730943,0.279,0.141,0.657393702224295
Return Saturn Return,1BdHCSLVKLL3E4v0AE3PFu,Up Dharma Down,0.1176470588235295,0.577,0.574,0.36801332778009144,0.0271,0.261,0.9453760214116267
Una't Huling Pag-Ibig,0auYlizAdHRyZZHpYI5ZKU,Yeng Constantino,0.12035294117647034,0.339,0.204,0.5211995002082461,0.931,0.19,0.7571929682272551
Isa lang,1MlQobUd4mVrouZ57qXQ9t,Arthur Nery,0.12135294117647037,0.338,0.465,0.5615160349854225,0.781,0.372,0.3066972160830512
Tear to Fall,1n2LiJFqJ85Gi2C3oYJ21g,South Border,0.12364705882352955,0.583,0.428,0.4331528529779256,0.441,0.265,0.6398953750076037
Ikaw Nga - Version 3,5cip0zG0qijc5K48bXy8EV,South Border,0.1256470588235292,0.585,0.366,0.26422324031653455,0.583,0.286,0.9058375068432047
Alam Ko,5JfXvkPqBWrTUBb1OWs1mU,John Roa,0.13335294117647042,0.326,0.211,0.0,0.809,0.272,0.016504795312151543
Porter,0kvz5n6AiRphwjz3tD5C61,I Belong to the Zoo,0.13364705882352962,0.593,0.344,0.5894210745522694,0.823,0.202,0.9299864149719177
Summer Time Love,1ZpKw4gypIsa4LrshH9kc5,juan karlos,0.13364705882352962,0.593,0.721,0.6958767180341523,0.338,0.547,0.7644518339787911
Miserable,5AqIZJd6CTGupf837JcgTf,Join The Club,0.13364705882352962,0.593,0.455,0.3342773844231568,0.451,0.108,0.7401204403982238
True,0jdeV5dSB3kUBRqe1xQJbh,Ryan Cabrera,0.13864705882352954,0.598,0.4,0.4274885464389835,0.459,0.369,0.5999107848902048
Ikaw Nga,6NRUO19l0NLa0GA964ElyG,South Border,0.14264705882352915,0.602,0.464,0.42907122032486456,0.595,0.363,0.9057969545205706
Tao Lang Ako,4LJ7JPuJYKHaVzV9cYKC9P,Yeng Constantino,0.14964705882352922,0.609,0.455,0.5723448563098705,0.627,0.145,0.5024635536000326
Anong Nangyari Sa Ating Dalawa,4UBoF5hcXav3XzKJHYqb1E,Moira Dela Torre,0.1523529411764704,0.307,0.213,0.4895460224906285,0.944,0.199,0.11906161925424263
This Too Shall Pass,1u8XWGYZ6R905qK9MvPeLB,Rico Blanco,0.1546470588235293,0.614,0.465,0.3323615160349853,0.821,0.079,0.905472535939496
Before I Fall in Love,6XmbkWHzCegZrJFqHVItS7,Sarah Geronimo,0.1563529411764705,0.303,0.497,0.7519366930445646,0.277,0.21,0.9082503700399442
Home,2OGw89LBe35MRDkRhD72ZU,Moira Dela Torre,0.16064705882352953,0.62,0.412,0.49312786339025383,0.189,0.159,0.7025689896388814
Finally,5IBx6cW59T6jUSHIj6mtYl,I Belong to the Zoo,0.16664705882352931,0.626,0.337,0.5551853394418989,0.901,0.184,0.9659968774711571
Sana Na Lang,6Q9QEIEMWbBkB7CXzNmpNZ,Yeng Constantino,0.17364705882352938,0.633,0.517,0.48862973760932893,0.242,0.44,0.15537622417323926
Very Special Love,1epLu7QUe1yZoTRXobXxsl,Sarah Geronimo,0.17964705882352944,0.639,0.622,0.7885047896709705,0.449,0.347,0.6798799651250027
Ganito (from Tala: The Film Concert Album),5EUnLbe37wi8Ndk9dRf1Dz,Sarah Geronimo,0.1813529411764704,0.278,0.293,0.3082882132444813,0.653,0.209,0.25138384800989466
"Ikaw Lang Ang Mamahalin - From ""La Luna Sangre""",0eFU1PdpgL6lv03ylfEqGD,KZ Tandingan,0.19135294117647045,0.268,0.515,0.46139108704706344,0.845,0.0658,0.35177112269105226
"Christ in Us, Our Hope of Glory",09Gno5cfHEsAkKaz0fqhm4,Julie Anne San Jose,0.1933529411764705,0.266,0.545,0.9330279050395667,0.788,0.337,0.27810782862588423
Be My Lady,2WAwxaI7lyIfy7eS1lus3Y,Nyoy Volante,0.19535294117647045,0.264,0.533,0.705789254477301,0.544,0.134,0.24631480768060965
When I Close My Eyes,1GSpMJrmP63PJLhKJXVSp0,Julie Anne San Jose,0.20335294117647043,0.256,0.432,0.6269887546855475,0.664,0.264,0.2582169143737707
Silid,4UtIdDlQ3SnkeOFBse5vOD,Up Dharma Down,0.21364705882352955,0.673,0.416,0.3188671386922113,0.159,0.536,0.8135809728502199
My Girl,6zGskpg4TrtRHxbOQCqmrL,Daniel Padilla,0.21564705882352952,0.675,0.711,0.7523531861724282,0.346,0.586,0.6625843995214824
The Life,1sR7ojnMdGgnZntC9FlOsH,James Reid,0.21664705882352941,0.676,0.611,0.8052478134110785,0.734,0.347,0.8990044404793287
This Is Love,6iIylwvWuTqFRhvXMn09KF,Zack Tabudlo,0.22364705882352953,0.683,0.459,0.5279466888796334,0.257,0.287,0.5217461830126322
Say Hello,5TxVqa0EZp0t0HkvcdZceM,KZ Tandingan,0.26664705882352946,0.726,0.849,1.0,0.413,0.666,0.7635799590421541
