track_name,artist_name,predicted_genre,predicted_genre_prob,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Swimming Pool - feat. Chito Miranda,Ben&Ben,sawi,0.7473676906534994,0.225,0.852,0.9426544240400666,0.0724,0.000987,1.11e-06,0.095,0.462,0.6667685344858949
Lifetime,Ben&Ben,sawi,0.6191099328264725,0.386,0.657,0.9591819699499164,0.0316,0.292,1.05e-05,0.393,0.401,0.8248164560185689
Kapangyarihan - feat. SB19,Ben&Ben,sawi,0.6183063881760342,0.449,0.746,0.9748747913188647,0.032,0.0114,0.0,0.186,0.315,0.5909570481616497
Elyu,Ben&Ben,sawi,0.5982396833418275,0.51,0.435,0.9343906510851419,0.0267,0.0545,1.58e-06,0.0821,0.204,0.17038120393209782
Lucena,Ben&Ben,sawi,0.5475503219754237,0.499,0.558,0.739565943238731,0.0257,0.0226,0.000558,0.0988,0.585,0.5628269775090406
Kathang Isip,Ben&Ben,sawi,0.5458064733377149,0.491,0.314,0.6707846410684473,0.0301,0.776,4.76e-06,0.152,0.295,0.43861372450575925
Fall,Ben&Ben,sawi,0.5423391947344998,0.486,0.457,0.7712854757929881,0.0281,0.689,0.0,0.132,0.485,0.6052913055816289
Leaves (feat. Young K),Ben&Ben,sawi,0.5414196235484201,0.398,0.281,0.6015025041736226,0.0322,0.621,0.0,0.0797,0.163,0.3226372123143641
Di Ka Sayang,Ben&Ben,sawi,0.5334939169820939,0.544,0.781,0.9813021702838062,0.0352,0.00781,8.38e-05,0.132,0.422,0.4236828127160143
Mitsa (Salamat),Ben&Ben,sawi,0.5333692996514773,0.425,0.658,0.8244574290484139,0.0349,0.355,1.99e-06,0.0836,0.293,0.40547030189255856
Doors,Ben&Ben,sawi,0.5164518083748336,0.659,0.392,0.8247913188647745,0.0249,0.159,0.0,0.0953,0.505,0.0606695626232418
Sugat - feat. Munimuni,Ben&Ben,sawi,0.510199784841277,0.35,0.339,0.7101001669449081,0.0308,0.562,0.00712,0.0876,0.149,0.06567563831103157
Araw-Araw,Ben&Ben,sawi,0.5068453406876441,0.475,0.424,0.6866444073455757,0.0295,0.582,0.0,0.234,0.224,0.5403505708236012
Pasalubong - feat. Moira Dela Torre,Ben&Ben,sawi,0.5064999447841978,0.375,0.358,0.6748747913188646,0.026,0.582,2.56e-05,0.0647,0.177,0.03721085910952965
Lunod (Extended Version) (feat. Zild & Juan Karlos),Ben&Ben,sawi,0.5061919661469307,0.499,0.711,0.9568447412353922,0.0319,0.0141,0.0011,0.0788,0.294,0.19957361041380167
Masyado Pang Maaga,Ben&Ben,sawi,0.5,0.526,0.571,0.795075125208681,0.0295,0.458,0.0,0.11,0.31,0.5341511863962802
Lunod (feat. Zild & Juan Karlos),Ben&Ben,sawi,0.5,0.512,0.693,0.9757095158597662,0.0296,0.00783,0.000882,0.106,0.405,0.1991443103184825
